Year;american_plaice;atlantic_cod;redfish;turbot;witch_flounder;yellowtail_flounder;capelin;sand_lance;thorny_skate
1996;913000;360000;9845000;18840000;358000;232000;17020000;0;6118000
1997;1401000;520000;5112000;19858000;512000;658000;3602000;0;12068000
1998;1618000;910000;14052000;19946000;612000;4386000;18683000;0;9514000
1999;2565000;1040000;12593000;24226000;763000;6894000;11176000;0;11945000
2000;5176000;1320000;10003000;34177000;545000;11161000;11918000;0;18277000
2001;5739000;2180000;20274000;38232000;694000;14145000;13797000;0;14861000
2002;4870000;4860000;17234000;34062000;45000;10698000;8634000;0;11755000
2003;8727000;940000;17246000;35151000;1544000;13806000;13270000;0;14263000
2004;6158000;680000;3753000;25486000;627000;13354000;15694000;0;11828000
2005;4110000;600000;11305000;23255000;257000;13933000;15527000;0;3538000
2006;2828000;850000;12610000;23531000;481000;930000;15406000;0;5504000
2007;3606000;910000;5179000;22747000;222000;4623000;16301000;0;6211000
2008;2515000;1080000;4020000;21180000;264000;11403000;15154000;0;7110000
2009;3015000;930000;6431000;23156000;376000;6168000;13210000;0;5721000
2010;2898000;860000;5234000;26174000;421000;9379000;11914000;0;5364000
2011;2363000;710000;5972000;24960000;350000;5229000;11966000;0;5548000
2012;2148000;1100000;6967000;22978000;315000;3683000;11643000;0;4329000
2013;3016000;740000;7795000;19976000;328000;10762000;12388000;0;4344000
2014;2265000;580000;7524000;21433000;335000;7936000;13352000;0;4474000
2015;1149000;670000;8356000;15273000;359000;5581000;11389000;0;3326000
2016;1666000;650000;9017000;14857000;1062000;9327000;16187000;0;3481000
2017;1172000;390000;7512000;14760000;656000;8956000;16037000;0;4162000
2018;1002000;530000;6120000;16630000;641000;8694000;10745000;0;1519000
2019;1245000;580000;6555000;16481000;862000;12835000;10745000;0;3274000
