survey.year;american_plaice;atlantic_cod;redfish;turbot;witch_flounder;yellowtail_flounder;capelin;sand_lance;thorny_skate
1996;0.00861393;0.012031032;0.078421753;0.23990739;0.076808712;0.001320997;0.138804682;0;0.118725363
1997;0.015151354;0.023650977;0.166428079;0.196755828;0.066187116;0.003761111;0.098913458;0;0.287578743
1998;0.015697811;0.010306119;0.064240528;0.104233593;0.177124517;0.021693196;0.142160932;0;0.155093533
1999;0.013336224;0.011890918;0.068402546;0.201512878;0.078487639;0.018851488;0.091542483;0;0.13639426
2000;0.033449193;0.01240283;0.058354524;0.272737335;0.084123467;0.038886355;0.132371549;0;0.220766028
2001;0.029777588;0.037694851;0.295998686;0.622968414;0.066369847;0.038649585;0.119594446;0;0.150632243
2002;0.03758129;0.176777408;0.334648619;1.145037845;0.005465077;0.053623236;0.173504695;0;0.194006168
2003;0.054408021;0.022727624;0.300479313;0.581058089;0.092615453;0.035681543;0.19169837;0;0.186849416
2004;0.043104137;0.022386983;0.022755793;0.540592715;0.050675533;0.043377891;0.052368349;0;0.174014279
2005;0.019144241;0.01368766;0.08923457;0.339229089;0.032994072;0.035839028;0.067520849;0;0.035544101
2006;0.013366073;0.012977737;0.356371439;0.407512648;0.052442615;0.001845856;0.095082588;0;0.056081198
2007;0.015600873;0.011309066;0.016633634;0.182203094;0.027305377;0.01043551;0.137068895;0;0.048674797
2008;0.010741917;0.018856091;0.018896969;0.25127938;0.02402076;0.024959513;0.051073076;0;0.072728605
2009;0.024494552;0.005005189;0.023736355;0.828155342;0.039343312;0.022745908;0.206460127;0;0.063663684
2010;0.01930019;0.017679417;0.017136423;0.38146014;0.044352897;0.023761215;0.052121183;0;0.045580426
2011;0.015246378;0.01270521;0.015916373;0.576923228;0.028915905;0.012365861;0.071334047;0;0.062827431
2012;0.012694428;0.010353743;0.012566252;0.293577168;0.020021812;0.00752491;0.030577535;0;0.040498508
2013;0.012957277;0.004129308;0.02263137;0.664631707;0.012500104;0.027085789;0.040974551;0;0.033004742
2014;0.010035541;0.003820687;0.016933222;0.78362289;0.026577492;0.023895968;0.040028748;0;0.036077308
2015;0.007958976;0.012382944;0.014994426;0.889912607;0.052960576;0.025350698;0.183805781;0;0.03328903
2016;0.023957466;0.013158796;0.012552478;0.550265133;0.115772214;0.069905852;0.491028817;0;0.030784893
2017;0.01244196;0.026158265;0.040094312;1.550847896;0.072448193;0.041834202;0.201685676;0;0.045309966
2018;0.008195958;0.011166868;0.043693364;0.224102886;0.065508592;0.028655022;0.121495979;0;0.011327271
2019;0.020481056;0.005868994;0.035229357;0.277439572;0.089911999;0.069839495;0.225438976;0;0.031694857
