survey.year;american_plaice;atlantic_cod;redfish;turbot;witch_flounder;yellowtail_flounder;capelin;sand_lance;thorny_skate
1996;105991113.1;29922620.56;125539146.5;15706060.56;4660929.633;175624860;140000000;141437644.6;51530691.21
1997;92466985.55;21986406.79;30715970.78;25231781.2;7735644.485;174948311.1;140000000;40981423.74;41964158.67
1998;103071695.9;88297062.49;218740418.8;47839663.49;3455196.43;202183209.5;140000000;310189202.4;61343628.08
1999;192333299.2;87461710.68;184101334.4;30055151.17;9721275.923;365700575.4;186666666.7;133689770.9;87576998.99
2000;154742150.8;106427325.5;171417730.3;31327760.85;6478572.704;287015842.6;93333333.33;57760271.73;82789005.94
2001;192728837.3;57832832.54;68493547.41;15342671.94;10456555.63;365980645.1;133333333.3;107107206.6;98657496.35
2002;129585759.8;27492200.79;51498793.16;7436872.096;8234102.474;199503065.4;80000000;42938797.84;60590857.02
2003;160399143.7;41359360.29;57394966.1;15123703.06;16671084.03;386922730;106666666.7;114982692;76334196.22
2004;142863317.5;30374794.24;164925039.8;11786137.37;12372834.77;307852676.9;120000000;252453210.8;67971433.69
2005;214685973.1;43835103.14;126688569;17138123.43;7789277.911;388766127.9;93333333.33;91920808.42;99538317.67
2006;211580464.1;65496781.35;35384429.35;14435748.27;9171930.141;503831183.6;173333333.3;29381163.43;98143410.21
2007;231140918.2;80466412.01;311357104;31211050.64;8130266.691;443006636.7;253333333.3;75712305.94;127601971.1
2008;234129537.7;57275922.12;212732529.4;21072162.82;10990493.12;456859882.1;253333333.3;91201626.19;97760709.65
2009;123088595.1;185807169.1;270934608.1;6990234.449;9556897.436;271169656.9;266666666.7;106528396;89862848.64
2010;150153964.9;48644138.44;305431295.4;17153823.74;9492051.875;394718867.5;26666666.67;39316008.43;117682095.1
2011;154987626.6;55882587.48;375211110;10815997.16;12104065.17;422857721.9;200000000;47385809.62;88305377.11
2012;169208098.8;106241774.8;554421463.5;19567257.36;15732841.75;489441079.2;173333333.3;50000936.07;106892826.2
2013;232764954;179206802;344433408.7;7513935.834;26239781.89;397330132.9;666666666.7;47871052.74;131617452.3
2014;225697854.8;151805147.3;444333634.2;6837791.585;12604650.49;332106233.7;786666666.7;204125983.6;124011469.3
2015;144365298;54106680.43;557273762.4;4290589.85;6778627.15;220151729.5;360000000;48586507.05;99912794.62
2016;69539907.4;49396615.43;718344211.2;6749927.944;9173185.56;133422305.6;246666666.7;141741442.9;113074943.8
2017;94197378.91;14909245.71;187358247.2;2379343.59;9054746.177;214083206;133333333.3;105998761.1;91856170.74
2018;122255381.7;47461829.02;140067036.7;18551746.82;9784975.988;303402310.2;293333333.3;341375011.3;134101146.3
2019;60787880.75;98824433.72;186066412.4;14850981.7;9587152.019;183778535.1;280000000;161552739.6;103297517.5
